#,submission #,number,version,text,scores,total score,reviewer person #,date,time,attachment?
1,199,1,1,"(OVERALL EVALUATION) Thank you for sending the manuscript for consideration at the L&T2023 Metaverse conference. While the topic of battery management is certainly important, it is not directly related to the focus of the Metaverse conference, which is on virtual and augmented reality technologies. We appreciate your interest in the conference and encourage you to consider submitting your work to other conferences or journals.
Sincerely,

(CONFIDENTIAL REMARKS FOR THE PROGRAM COMMITTEE) The topic is about batteries that is not related to the theme of the conference","Overall evaluation: -3
Reviewer's confidence: 3",-3,120,1/1/2023,20:10,no
2,199,2,1,(OVERALL EVALUATION) The paper presents work on  Li-Ion Battery State-of-Charge Estimation using ML. The work is great but is out of scope of the confernece and plagirism rate is higher than the acceptable rates.,"Overall evaluation: -1
Reviewer's confidence: 4",-1,,1/8/2023,9:35,no
3,428,1,1,"(OVERALL EVALUATION) Although the paper targets a very important subject, it handled it in a very superficial manner

1.	Not in IEEE format
2.	Seeking is not a suitable keyword
3.	Limited participation (207)
4.	“More than half of respondents were married (52.2%)”, where in the table 1 “Marital status Single 107 52.2% Married 93 45.4% Other 5 2.4%”
5.	This is a simple idea with a simple methodology and obvious results that were expected from previous research
6.	Some straightforward outcomes were ignored like the gender and age effect on using certain resource or spending longer time , …..etc

(CONFIDENTIAL REMARKS FOR THE PROGRAM COMMITTEE) Although the paper targets a very important subject, it handled it in a very superficial manner","Overall evaluation: 0
Reviewer's confidence: 4",0,106,12/28/2022,7:58,no
4,428,2,1,"(OVERALL EVALUATION) The paper examines the health information sought from SMAs among a diverse population in
Jordan to explore their use of SMAs (i.e., WhatsApp, Twitter, YouTube, Snapchat, Instagram, and Facebook) for accessing health information. The paper has no scientific quality since it uses an online questionnaire of 207 participants and gives some statistical information. The number of participants is not enough for such studies. The results of this study are very limited and invaluable.

(CONFIDENTIAL REMARKS FOR THE PROGRAM COMMITTEE) The paper examines the health information sought from SMAs among a diverse population in
Jordan to explore their use of SMAs (i.e., WhatsApp, Twitter, YouTube, Snapchat, Instagram, and Facebook) for accessing health information. The paper has no scientific quality since it uses an online questionnaire of 207 participants and gives some statistical information. The number of participants is not enough for such studies. The results of this study are very limited and invaluable.","Overall evaluation: -2
Reviewer's confidence: 5",-2,121,1/2/2023,15:38,no
5,563,1,1,"(OVERALL EVALUATION) The paper is well written and organized. So, I accept it without comments.","Overall evaluation: 2
Reviewer's confidence: 4",2,,1/6/2023,16:25,no
6,563,2,1,"(OVERALL EVALUATION) The paper experiements noise reduction for wireless networks, based on high volume data as in joining the Metaverse. the paper is good. 
The authers need to revise the english for typos.","Overall evaluation: 2
Reviewer's confidence: 2",2,,1/6/2023,16:29,no
7,563,3,1,"(OVERALL EVALUATION) This paper investigates the efficiency of energy consumption of metaverse environment technologies. It has explored using Finite-impulse response (FIR), Carry resists adder (CRA), and carry propagation adder (CPA) for IoT-based wireless sensor networks (WSN). The title mentioned CRABRA and it was illustrated in the results but not clarified in the abstract. It is suggested to add CRABRA experimentation to the abstract. In addition, the abstract shows many details about the results that can be simplified by showing only concluded remarks and having a comparative analysis in the discussion part. The results have been well-analyzed. However, the conclusion mentioned 'various current approaches are contrasted with the suggested CRABRAA methodology' is not in favor of the research and can not come to a conclusion.  Moreover, the conclusion mentioned the superiority of CRA over other methods which needs to be well stated. Kindly note that CRABRA is first mentioned in page 5 with no proper introduction or illustration earlier in the research.

(CONFIDENTIAL REMARKS FOR THE PROGRAM COMMITTEE) The plagiarism check using Grammarly is 53 %. 
The CRABRA is not the abstract part and needs to be more illustrated with a proper literature review in the introduction to link it with CRA.","Overall evaluation: 2
Reviewer's confidence: 3",2,9,1/9/2023,10:30,no
8,700,1,1,"(OVERALL EVALUATION) Thank you for submitting your manuscript to the L&T 2023 conference. We appreciate the effort that went into conducting the study on ""Embracing the Metaverse: The Future of Islamic Teaching and Learning."" While the manuscript presents an interesting topic and provides some valuable insights, there are a few areas that could be improved upon to enhance the overall quality and impact of the study.

We suggest providing more information about the background and context of the study, including a more detailed explanation of the research question and the significance of the topic. Additionally, it would be beneficial to include more data, examples and case studies to support the findings and strengthen the argument.

We also recommend including a more detailed discussion about the limitations of the study and potential areas for future research. In addition, consider including more visuals, such as figures and tables, to help present the results and findings more clearly.

Furthermore, consider using more technical terms and jargons that are related to the field of the study. Also, it would be helpful to provide more examples of the practical applications of the study. Finally, it is important to include more information about the ethical considerations in the study.

We hope that these suggestions will help you to improve your manuscript and we look forward to your revisions.","Overall evaluation: 2
Reviewer's confidence: 4",2,78,1/18/2023,18:43,no
9,876,1,1,"(OVERALL EVALUATION) Thank you for submitting your manuscript for consideration at our conference on the Metaverse. While your research on space design and the use of iWGAN for generative design is interesting, it is not directly related to the theme of our conference, which focuses on the Metaverse and virtual reality. We appreciate your interest in our conference and encourage you to consider submitting your work to other conferences or publications that may be more closely aligned with your research focus. Best of luck in your future endeavors

(CONFIDENTIAL REMARKS FOR THE PROGRAM COMMITTEE) it is not directly related to the theme of our conference, which focuses on the Metaverse","Overall evaluation: -2
Reviewer's confidence: 5",-2,120,1/1/2023,20:14,no
10,876,2,1,"(OVERALL EVALUATION) Thank you for your submission the manuscript to L&T2023 conference on ""Metaverse"". After reviewing your manuscript, we have determined that it does not align with the theme of our conference. Our focus is on the development and use of virtual reality and augmented reality technology in the creation of immersive digital worlds, rather than on the design of physical spaces. Therefore, we regret to inform you that your manuscript has been rejected. We appreciate your interest in the conference and encourage you to consider submitting your work to conferences related to to the design of physical spaces.

(CONFIDENTIAL REMARKS FOR THE PROGRAM COMMITTEE) Topic not on Metaverse.","Overall evaluation: -2
Reviewer's confidence: 4",-2,78,1/2/2023,0:17,no
11,876,3,1,"(OVERALL EVALUATION) The paper discusses a model for space design in 3D space. They experimented huge amount of hyperparameters for efficient space modeling. The authors used Inference Wasserstein Generative Adversarial Network (iWGAN)  to apply generative SD, to extend the boundaries of space furnishing to space articulation. The paper need to relate to metaverse although 3D modeling and space articulation is related to Metaverse, thus, 
- the authors need to add Metaverse in the introduction to relate to the scope of the conference. 
- Also, comply with IEEE format
- Plagiarism is high need to revise all paragraphs 

Could be accepted if the paper is majorly reedited.","Overall evaluation: 1
Reviewer's confidence: 3",1,,1/8/2023,7:56,no
12,1255,1,1,(OVERALL EVALUATION) This paper is out of the scope of conference.,"Overall evaluation: -2
Reviewer's confidence: 4",-2,,1/2/2023,8:11,no
13,1255,2,1,"(OVERALL EVALUATION) The paper presented a model for fabrication of highly expensive precise micro objects, without sacrificing the quality from camera images. The work is great however need to relate to the conference scope, by adding goals to use images to digitize the objects to be used in virtual reality to relate to the conference. 
Also, need to comply with IEEE format.","Overall evaluation: 1
Reviewer's confidence: 3",1,,1/8/2023,8:13,no
14,1269,1,1,"(OVERALL EVALUATION) This research studies the radiation properties of suggested arrays of quadrifilar helix antennas for use on a CubeSat in the L-band, with the goal of developing a practical application.
In the simulations, it was discovered that the antenna gain increases when a cavity is used, although the axial ratio is slightly decreased.

The manuscript needs a major change in the content and format as it is not following the standards of a scientific paper. The authors need to carefully review the manuscript based on the comments below:

1. Roughly 85% of all cited works should be less than five years old. But All the references used in the manuscript are very old.
2. I suggest removing unnecessary refs. For example, the QHA impact on space applications does not need 7 refs. Please keep the ref that is related to the statement only.
3. What is the contribution of the manuscript compared to the traditional Quadrifilar Helix Antenna for CubeSat? this is very important to specify in the literature review.
4. The methodology used needs to be clearly explained.
5. Figures: 1, 2, and 3 are confusing, they need to be moved to the right place.
Any figure added to the manuscript needs to be explained before being displayed.
Figures are displayed under the introduction and the explanation is located in section 2.2, this needs to be corrected.
6. It is not clear how the author calculated the QHA power patterns and compared them with experimental data in figure 2 while the methodology was not explained yet.
7. In Fig. 1: What are the overlap length and wire separation? did you consider any gap in figure 1c?
8. What is the difference between the design presented and the conventional QHA?
9. Any consideration on how to optimize the pattern performance at a given frequency?
10. There are various performance characteristics of λ/4, λ/2,3λ/4 and λ for 1/4, 1/2, 3/4 and 1 turn has been given, why selecting axial length = 0.27λ and radius= 0.09λ only?
11. Equations from ref [8] need to be added to the manuscript to make the methodology clear.
12. Explain what is Moment Method?
13. The format of the paper needs to be corrected.
14. All the figs presented have very low quality, also it is not clear if the author is using them from other papers are the author performed the calculation.

All the figs presented have very low quality, it is not clear if the author is using them from other papers or performing the calculation from his model, which was not explained.
The manuscript needs a major change in the content and format as it is not following the standards of a scientific paper. The authors need to carefully review the manuscript based on the reviewers' comments.","Overall evaluation: 1
Reviewer's confidence: 4",1,78,1/21/2023,4:46,no
15,1272,1,1,"(OVERALL EVALUATION) Thank you for sending us your paper. We appreciate the effort you put into your work. However, we are unable to accept papers written in languages other than English as we require papers to be written in English in order to be reviewed by our team of reviewers. Thank you for understanding.

(CONFIDENTIAL REMARKS FOR THE PROGRAM COMMITTEE) It is written in Arabic","Overall evaluation: -3
Reviewer's confidence: 4",-3,78,12/10/2022,9:34,no
16,1522,1,1,"(OVERALL EVALUATION) By merging the concepts of the Internet of Things (IoT) and machine learning (ML), this study provides a systematic strategy of combating the COVID-19 epidemic more effectively.

The contribution with respect to the concurrent solutions, which are already presented should be clearly mentioned.

The quantitative results should be presented in abstract and conclusion.

Authors should carefully revise the manuscript in order to avoid any typos and grammatical errors while submitting the revised version of paper.","Overall evaluation: 2
Reviewer's confidence: 4",2,,1/21/2023,4:41,no
17,1522,2,1,"(OVERALL EVALUATION) According to the title, the manuscript is supposed to study a Machine learning-driven IoT architecture to predict outbreak trends of COVID-19 pandemic and identify high-risk locations. However, there is no clear objective in the abstract or the main text, and no clear methodology is explained. The manuscript seems to be a collection of information from different articles.
There is no clear indication of the dataset used nor which attributes have been used, except that the author indicates reference [41] that actually does not have the dataset.
The author says ""The temperature and masks dataset is from WEKA data mining software"" while WEKA does not have this information. Then the author talks about ""Raspberry Pi camera"" and IoT, and it is not clear who they have been included in the text. If the dataset exists and you use Weka then it is enough to run the different cases.
Also, the refs [41], [42], [43] do not seem to be related to the text mentioned in the manuscript.
Based on the above, and as it is presented, the paper is rejected. It could be a literature review though.","Overall evaluation: -1
Reviewer's confidence: 4",-1,78,1/21/2023,4:43,no
